id,Date,Rm Sold,Revenue,ADR,RevPar,Occupancy_Pct,Year,Month,DayOfWeek,DayOfYear,Quarter,created_at
1,2025-01-01 00:00:00,286.0,278676.01000000007,974.3916433566436,822.053126843658,84.36578171091446,2025,1,2,1,1,2025-08-17 08:40:34
2,2025-01-02 00:00:00,297.0,219446.19,738.8760606060606,647.3338938053097,87.61061946902655,2025,1,3,2,1,2025-08-17 08:40:34
3,2025-01-03 00:00:00,265.0,151851.72000000003,573.0253584905662,447.9401769911505,78.17109144542773,2025,1,4,3,1,2025-08-17 08:40:34
4,2025-01-04 00:00:00,243.0,126849.86000000002,522.0158847736626,374.18837758112096,71.68141592920354,2025,1,5,4,1,2025-08-17 08:40:34
5,2025-01-05 00:00:00,223.0,113401.95999999999,508.52896860986544,334.51905604719764,65.78171091445427,2025,1,6,5,1,2025-08-17 08:40:34
6,2025-01-06 00:00:00,249.0,123867.88999999998,497.4614056224899,365.392005899705,73.45132743362832,2025,1,0,6,1,2025-08-17 08:40:34
7,2025-01-07 00:00:00,235.0,114562.62000000001,487.5005106382979,337.9428318584071,69.32153392330383,2025,1,1,7,1,2025-08-17 08:40:34
8,2025-01-08 00:00:00,260.0,120695.86,464.21484615384617,356.03498525073746,76.69616519174042,2025,1,2,8,1,2025-08-17 08:40:34
9,2025-01-09 00:00:00,277.0,131524.25,474.8167870036101,387.97713864306786,81.71091445427729,2025,1,3,9,1,2025-08-17 08:40:34
10,2025-01-10 00:00:00,282.0,133143.08,472.1385815602836,392.75244837758106,83.1858407079646,2025,1,4,10,1,2025-08-17 08:40:34
11,2025-01-11 00:00:00,246.0,112033.93,455.4224796747967,330.4835693215339,72.56637168141593,2025,1,5,11,1,2025-08-17 08:40:34
12,2025-01-12 00:00:00,245.0,112252.81999999999,458.17477551020403,331.1292625368731,72.27138643067846,2025,1,6,12,1,2025-08-17 08:40:34
13,2025-01-13 00:00:00,294.0,139057.83000000002,472.98581632653065,410.20008849557524,86.72566371681415,2025,1,0,13,1,2025-08-17 08:40:34
